1;Artículo;Investigativa;A bilingual terminological lexicon on leishmaniasis: process and product;Gabriel Ángel Quiroz Herrera;Terminology Science & Research - Vol. 8, no. 1. ISSN: 1017-382X;1997;Inglés;"Quiroz, G., & Muñoz, C. (1997). A bilingual terminological lexicon on
leishmaniasis: process and product. Terminology Science & Research, 8(1),
109–117.";;No;No;No
2;Artículo;Investigativa;A bilingual terminological lexicon on leishmaniasis: process and product;Carlos Arturo Muñoz Torres;Terminology Science & Research - Vol. 8, no. 1. ISSN: 1017-382X;1997;Inglés;"Quiroz, G., & Muñoz, C. (1997). A bilingual terminological lexicon on
leishmaniasis: process and product. Terminology Science & Research, 8(1),
109–117.";;No;No;No
3;Capítulo de libro;Investigativa;A national survey of professional development schools;John McIntyre;Investigating University-school Partnerships, Information Age Pub. ISBN: 9781617353727 ;2011;Inglés;McIntyre, J., & Echeverri, P. (2011). A national survey of professional development schools. In J. Nath, I. Guadarrama, & J. Ramsey (Eds.), Investigating University-School Partnerships (pp. 49–61). Information Age Publishing, Inc. Retrieved from https://goo.gl/bO9s9c;;No se sube;No;
4;Capítulo de libro;Investigativa;A national survey of professional development schools;Paula Andrea Echeverri Sucerquia;Investigating University-school Partnerships, Information Age Pub. ISBN: 9781617353727 ;2011;Inglés;McIntyre, J., & Echeverri, P. (2011). A national survey of professional development schools. In J. Nath, I. Guadarrama, & J. Ramsey (Eds.), Investigating University-School Partnerships (pp. 49–61). Information Age Publishing, Inc. Retrieved from https://goo.gl/bO9s9c;;No se sube;No;
5;Artículo;Investigativa;Action research in a graduate foreign language teaching program;María Cristina Frodden Armstrong;Íkala : Revista de Lenguaje y Cultura, vol. 4, no. 7-8. ISSN: 01233432-;1999;Inglés;Frodden, C. (1999). Action research in a graduate foreign language teaching program. Íkala, Revista de Lenguaje Y Cultura, 4(7-8), 101–124. Retrieved from http://goo.gl/OWTxfm;;Sí ;Sí ;
6;Capítulo de libro;Investigativa;A school district-based action research program in the United States;Cathy Caro-Bruce;The SAGE Handbook of Educational Action Research, SAGE Publications Ltd. ISBN: 9781446270547;2009;Inglés;Caro-Bruce, K., Klehr, M., Zeichner, K., & Sierra, A. (2009). A School District-Based Action Research Program in the United States. In S. Noffke & B. Somekh (Eds.), The SAGE Handbook of Educational Research (pp. 104–117). SAGE Publications Ltd. Retrieved from http://goo.gl/Lm407l;;No;No;
7;Capítulo de libro;Investigativa;A school district-based action research program in the United States;Mary Klehr;The SAGE Handbook of Educational Action Research, SAGE Publications Ltd. ISBN: 9781446270547;2009;Inglés;Caro-Bruce, K., Klehr, M., Zeichner, K., & Sierra, A. (2009). A School District-Based Action Research Program in the United States. In S. Noffke & B. Somekh (Eds.), The SAGE Handbook of Educational Research (pp. 104–117). SAGE Publications Ltd. Retrieved from http://goo.gl/Lm407l;;No;No;
8;Capítulo de libro;Investigativa;A school district-based action research program in the United States;Ken Zeichner;The SAGE Handbook of Educational Action Research, SAGE Publications Ltd. ISBN: 9781446270547;2009;Inglés;Caro-Bruce, K., Klehr, M., Zeichner, K., & Sierra, A. (2009). A School District-Based Action Research Program in the United States. In S. Noffke & B. Somekh (Eds.), The SAGE Handbook of Educational Research (pp. 104–117). SAGE Publications Ltd. Retrieved from http://goo.gl/Lm407l;;No;No;
9;Capítulo de libro;Investigativa;A school district-based action research program in the United States;Ana Maria Sierra Piedrahita;The SAGE Handbook of Educational Action Research, SAGE Publications Ltd. ISBN: 9781446270547;2009;Inglés;Caro-Bruce, K., Klehr, M., Zeichner, K., & Sierra, A. (2009). A School District-Based Action Research Program in the United States. In S. Noffke & B. Somekh (Eds.), The SAGE Handbook of Educational Research (pp. 104–117). SAGE Publications Ltd. Retrieved from http://goo.gl/Lm407l;;No;No;
10;Artículo;Investigativa;A specialized parallel corpus of english and spanish free trade agreements for the study of specialized collocations;Pedro Patiño García; SYNAPS - A Journal of Professional Communication, vol. 26. ISSN: 18930506;2011;Inglés;"Patiño, P. (2011). A specialized parallel corpus of English and Spanish Free Trade
Agreements for the study of specialized collocations. SYNAPS - A Journal of
Professional Communication, 26, 85–89. Retrieved from http://goo.gl/NgL3qr";Scielo;Sí ;Sí ;https://cutt.ly/cd9sqBF  
